id,accident_id,plate_number,vin,body_number,vehicle_type_id,mark_code,model_code,driver_guilt_option_id,traffic_direction_from,traffic_direction_to,object_id,is_drunk,is_unidentified_vehicle,is_vehicle_left_accident,driver_comment,yellow_number,is_damaged,is_circumstance_inconsistency,is_traffic_direction_inconsistency,is_road_sign_inconsistency,is_collision_sequence_inconsistency,accident_number,accident_date,is_injured_person,is_property_damage,road_condition_id,weather_condition_id,illumination_condition_id,visibility_condition_id,accident_classification_id,model_img,model_scheme,other,address_id,road_surface_condition_id,id-2,is_confirmation_passed
107773,51019,RUSH707TP190,,,2,,,3,??????,???????,527509,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR270720220803776,2022-07-27 20:03:00+04,FALSE,FALSE,1,,,2,2,,,,94447,1,51019,FALSE
107772,51019,10SN808,KNAFU4A2XC5642820,,2,148,81,3,??????,???????,527474,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR270720220803776,2022-07-27 20:03:00+04,FALSE,FALSE,1,,,2,2,,,,94447,1,51019,FALSE
107775,51020,37MC898,W0L0TGF75X2272743,,2,210,151,3,??????? ???,??????? ???,521297,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR140720220105976,2022-07-14 13:05:00+04,FALSE,FALSE,1,,,1,2,,,,94449,1,51020,FALSE
107774,51020,37NT574,XTA21074062348998,,2,280,51,3,??????? ???,??????? ???,521296,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR140720220105976,2022-07-14 13:05:00+04,FALSE,FALSE,1,,,1,2,,,,94449,1,51020,FALSE
107776,51021,37AX553,KNDJC735085838183,,2,148,44,3,?????? ???,???????,528056,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280720221015813,2022-07-28 10:15:00+04,FALSE,FALSE,1,,,1,2,,,,94451,1,51021,FALSE
107777,51021,35QQ638,WBANA73564B803115,,2,26,85,3,?????? ???,???????,527981,FALSE,FALSE,FALSE,"5,3 ???????? ?????????",,TRUE,,,,,AYR280720221015813,2022-07-28 10:15:00+04,FALSE,FALSE,1,,,1,2,,,,94451,1,51021,FALSE
107779,51022,35OQ193,RR1-1012314,,2,121,194,3,??? ???????,????????? ??,527498,FALSE,FALSE,FALSE,,,TRUE,,,,,AAR200720220430438,2022-07-20 16:30:00+04,FALSE,FALSE,1,,,1,2,,,,94453,1,51022,FALSE
107778,51022,11SO641,WAUZZZ8DZTA247441,,2,9,73,3,????????? ??,??? ?????,527497,FALSE,FALSE,FALSE,,,TRUE,,,,,AAR200720220430438,2022-07-20 16:30:00+04,FALSE,FALSE,1,,,1,2,,,,94453,1,51022,FALSE
107781,51023,35SM633,AK12-092697,,2,204,200,3,??????? ???????,???? ?????????? ?,524391,FALSE,FALSE,FALSE,"5,2",,FALSE,,,,,AYR220720220815786,2022-07-22 08:15:00+04,FALSE,FALSE,,,,1,2,,,,94455,1,51023,FALSE
107780,51023,37DV259,WF05XXGBB51G71456,,2,82,218,3,??????? ???????,???? ?????????? ?,524392,FALSE,FALSE,FALSE,"5,3",,FALSE,,,,,AYR220720220815786,2022-07-22 08:15:00+04,FALSE,FALSE,,,,1,2,,,,94455,1,51023,FALSE
107783,51024,36CS116,4T4BF3EK0BR159407,,2,265,223,3,?? ????? ???????? ??,?? ?????????,527028,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720220510586,2022-07-25 17:10:00+04,FALSE,FALSE,1,,,1,2,,,,94457,1,51024,FALSE
107782,51024,17DZ117,1N4AL3AP7GC137203,,2,204,17,3,?? ????? ???????? ?,?? ????????? ??,526936,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720220510586,2022-07-25 17:10:00+04,FALSE,FALSE,1,,,1,2,,,,94457,1,51024,FALSE
107785,51025,97MA977,WDBRF61J23F392771,,2,190,244,3,?? ????? ??,????????,511065,FALSE,FALSE,FALSE,,,TRUE,,,,,ANK020720221135593,2022-07-02 11:35:00+04,FALSE,FALSE,1,,,1,2,,,,94459,1,51025,FALSE
107784,51025,008UU22,JTEBT17R358026655,,2,265,1099,3,???????? ?????,?? ????????,511067,FALSE,FALSE,FALSE,,,TRUE,,,,,ANK020720221135593,2022-07-02 11:35:00+04,FALSE,FALSE,1,,,1,2,,,,94459,1,51025,FALSE
107787,51026,217OP61,TMBEC45JXE3112994,,2,249,2,3,?????????? ???????????,???? ?????????,520475,FALSE,FALSE,FALSE,"???????? ????????????? ???????? ????????? ??????? ?? ????? ???? ? ????????? ???????? ??????? ?? ??? ????????, ?? ??????? ?????? ??? ??????? ??? ????????",,FALSE,,,,,AYR130720220850192,2022-07-13 08:50:00+04,FALSE,FALSE,1,,,1,2,,,,94461,1,51026,FALSE
107786,51026,99SV919,W0L0TGF48Y5044841,,2,210,13,3,?????????? ???????????,????????,520570,FALSE,FALSE,FALSE,5.5 ?? ?????? ??????? ? ???????? ????? ?????? ?????????,,FALSE,,,,,AYR130720220850192,2022-07-13 08:50:00+04,FALSE,FALSE,1,,,1,2,,,,94461,1,51026,FALSE
